param_max_iter,train acc,test acc
1,0.6321155417984539,0.636048526863085
2,0.444782549375493,0.4980597552959138
4,0.7493315324116584,0.7850649034955517
8,0.4979046380367457,0.43815290154777636
16,0.5350325036355571,0.5393659458324586
32,0.6943666798471065,0.6775427161238061
64,0.7954950405827819,0.8068352153492557
128,0.8587103551590496,0.8544426915006051
256,0.8736623680159409,0.864233312199982
512,0.8735855334849439,0.8675603698494869
1024,0.8732912804392461,0.8737445130570645
2048,0.8732912804392461,0.8737445130570645
